Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     26.12     0.00        3     0.00     0.00  lua_rawget
  0.00     26.12     0.00        3     0.00     0.00  lua_tonumberx
  0.00     26.12     0.00        3     0.00     0.00  str_format
  0.00     26.12     0.00        3     0.00     0.00  sweep2old
  0.00     26.12     0.00        3     0.00     0.00  warnfon
  0.00     26.12     0.00        2     0.00     0.00  createlabel
  0.00     26.12     0.00        2     0.00     0.00  f_call
  0.00     26.12     0.00        2     0.00     0.00  f_luaopen
  0.00     26.12     0.00        2     0.00     0.00  forbody
  0.00     26.12     0.00        2     0.00     0.00  luaD_growstack
  0.00     26.12     0.00        2     0.00     0.00  luaD_inctop
  0.00     26.12     0.00        2     0.00     0.01  luaH_getn
  0.00     26.12     0.00        2     0.00     0.00  luaK_concat
  0.00     26.12     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     26.12     0.00        2     0.00     0.01  luaL_len
  0.00     26.12     0.00        2     0.00     0.01  luaV_objlen
  0.00     26.12     0.00        2     0.00     0.01  lua_len
  0.00     26.12     0.00        2     0.00     0.00  lua_pcallk
  0.00     26.12     0.00        2     0.00     0.01  lua_rawgeti
  0.00     26.12     0.00        2     0.00     0.00  setpath
  0.00     26.12     0.00        2     0.00     0.00  test_then_block
  0.00     26.12     0.00        1     0.00     0.00  atomic2gen
  0.00     26.12     0.00        1     0.00    18.41  close_state
  0.00     26.12     0.00        1     0.00     0.00  closepaux
  0.00     26.12     0.00        1     0.00     0.00  docall
  0.00     26.12     0.00        1     0.00     0.00  entergen
  0.00     26.12     0.00        1     0.00     0.03  f_parser
  0.00     26.12     0.00        1     0.00     0.01  gctm
  0.00     26.12     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     26.12     0.00        1     0.00     0.00  luaC_changemode
  0.00     26.12     0.00        1     0.00    14.73  luaC_freeallobjects
  0.00     26.12     0.00        1     0.00     3.68  luaD_closeprotected
  0.00     26.12     0.00        1     0.00     0.00  luaD_protectedparser
  0.00     26.12     0.00        1     0.00     0.00  luaF_close
  0.00     26.12     0.00        1     0.00     0.00  luaK_nil
  0.00     26.12     0.00        1     0.00     0.00  luaL_checkstack
  0.00     26.12     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     26.12     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     26.12     0.00        1     0.00     3.68  luaL_newstate
  0.00     26.12     0.00        1     0.00     0.00  luaL_openlibs
  0.00     26.12     0.00        1     0.00     0.00  luaS_hash
  0.00     26.12     0.00        1     0.00     0.00  luaS_init
  0.00     26.12     0.00        1     0.00     0.00  luaS_resize
  0.00     26.12     0.00        1     0.00     0.00  luaT_init
  0.00     26.12     0.00        1     0.00     0.00  luaX_init
  0.00     26.12     0.00        1     0.00     0.00  luaX_setinput
  0.00     26.12     0.00        1     0.00     0.03  luaY_parser
  0.00     26.12     0.00        1     0.00     0.00  luaZ_init
  0.00     26.12     0.00        1     0.00     0.00  lua_atpanic
  0.00     26.12     0.00        1     0.00     0.00  lua_close
  0.00     26.12     0.00        1     0.00     0.00  lua_getglobal
  0.00     26.12     0.00        1     0.00     0.00  lua_load
  0.00     26.12     0.00        1     0.00     3.68  lua_newstate
  0.00     26.12     0.00        1     0.00     0.00  lua_setwarnf
  0.00     26.12     0.00        1     0.00     0.01  luaopen_base
  0.00     26.12     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     26.12     0.00        1     0.00     0.00  luaopen_debug
  0.00     26.12     0.00        1     0.00     0.00  luaopen_io
  0.00     26.12     0.00        1     0.00     0.00  luaopen_math
  0.00     26.12     0.00        1     0.00     0.00  luaopen_os
  0.00     26.12     0.00        1     0.00     0.06  luaopen_package
  0.00     26.12     0.00        1     0.00     0.00  luaopen_string
  0.00     26.12     0.00        1     0.00     0.00  luaopen_table
  0.00     26.12     0.00        1     0.00     0.00  luaopen_utf8
  0.00     26.12     0.00        1     0.00     0.03  pmain
  0.00     26.12     0.00        1     0.00     0.00  singlestep
  0.00     26.12     0.00        1     0.00     0.00  skipcomment
