container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
array,10000000,512,0.0,3.0,0,1,25192373.33,3.0,1676595856,5011292,3.08,0.77,4893.83984375,False
array,10000000,512,0.0,3.0,0,2,25259754.67,3.0,1727008608,5011168,3.07,0.77,4893.71875,False
array,10000000,512,0.0,3.0,0,3,25226965.33,3.0,1702491072,5011168,3.08,0.77,4893.71875,False
array,10000000,512,0.0,3.0,1,1,14370363.21,3.0,-2115000195,5050052,3.39,0.78,4931.69140625,False
array,10000000,512,0.0,3.0,1,2,14391685.87,3.0,-2098969635,5050212,3.39,0.79,4931.84765625,False
array,10000000,512,0.0,3.0,1,3,14406293.33,3.0,-2087896705,5050144,3.4,0.78,4931.78125,False
array,10,8,0.01,3.0,0,1,31186506.67,3.0,187119040,1560,2.99,0.0,1.5234375,False
array,10,8,0.01,3.0,0,2,31380672.0,3.0,188284026,1572,2.99,0.0,1.53515625,False
array,10,8,0.01,3.0,0,3,31260544.0,3.0,187563260,1620,2.99,0.0,1.58203125,False
array,10,8,0.01,3.0,1,1,25444556.85,3.0,160300762,1476,2.99,0.0,1.44140625,False
array,10,8,0.01,3.0,1,2,25530464.0,3.0,160841926,1464,2.99,0.0,1.4296875,False
array,10,8,0.01,3.0,1,3,25189994.67,3.0,196481950,1596,2.99,0.0,1.55859375,False
array,10,512,0.01,3.0,0,1,31311957.33,3.0,187871740,1592,2.99,0.0,1.5546875,False
array,10,512,0.01,3.0,0,2,31410432.0,3.0,188462586,1480,2.99,0.0,1.4453125,False
array,10,512,0.01,3.0,0,3,31294773.33,3.0,187768640,1560,2.99,0.0,1.5234375,False
array,10,512,0.01,3.0,1,1,25112746.67,3.0,195879424,1480,2.99,0.0,1.4453125,False
array,10,512,0.01,3.0,1,2,25444042.67,3.0,198463531,1576,2.99,0.0,1.5390625,False
array,10,512,0.01,3.0,1,3,25581696.0,3.0,199537227,1660,2.99,0.0,1.62109375,False
array,10,8388608,0.01,3.0,0,1,30753781.33,3.0,184522682,19400,2.99,0.0,18.9453125,False
array,10,8388608,0.01,3.0,0,2,31348224.0,3.0,188089340,19376,2.99,0.0,18.921875,False
array,10,8388608,0.01,3.0,0,3,31110869.33,3.0,186665212,19292,2.99,0.0,18.83984375,False
array,10,8388608,0.01,3.0,1,1,24883466.67,3.0,194091040,19368,2.99,0.0,18.9140625,False
array,10,8388608,0.01,3.0,1,2,25635861.33,3.0,199959710,19272,2.99,0.0,18.8203125,False
array,10,8388608,0.01,3.0,1,3,24751626.67,3.0,133658784,19292,2.99,0.0,18.83984375,False
array,1000,8,0.01,3.0,0,1,29607146.67,3.0,999154064,1560,2.99,0.0,1.5234375,False
array,1000,8,0.01,3.0,0,2,28919936.0,3.0,180913825,1468,2.99,0.0,1.43359375,False
array,1000,8,0.01,3.0,0,3,29522954.67,3.0,378436823,1588,2.99,0.0,1.55078125,False
array,1000,8,0.01,3.0,1,1,24551136.0,3.0,1912578237,1596,2.99,0.0,1.55859375,False
array,1000,8,0.01,3.0,1,2,24652714.67,3.0,-1626368749,1588,2.99,0.0,1.55078125,False
array,1000,8,0.01,3.0,1,3,24587338.67,3.0,-2112798061,1608,2.99,0.0,1.5703125,False
array,1000,512,0.01,3.0,0,1,6159460.51,3.0,-1538133080,1896,2.99,0.0,1.8515625,False
array,1000,512,0.01,3.0,0,2,6135635.73,3.0,-1714052982,2048,2.99,0.0,2.0,False
array,1000,512,0.01,3.0,0,3,6206439.5,3.0,-1179878939,1996,2.99,0.0,1.94921875,False
array,1000,512,0.01,3.0,1,1,5738423.83,3.0,-349557946,2052,2.99,0.0,2.00390625,False
array,1000,512,0.01,3.0,1,2,5778782.22,3.0,-48795961,1976,2.99,0.0,1.9296875,False
array,1000,512,0.01,3.0,1,3,5755030.41,3.0,-263626736,1960,2.99,0.0,1.9140625,False
array,100000,8,0.01,3.0,0,1,3700521.0,3.0,1238406043,2140,2.99,0.0,2.08984375,False
array,100000,8,0.01,3.0,0,2,3659892.11,3.0,901377670,2236,2.99,0.0,2.18359375,False
array,100000,8,0.01,3.0,0,3,3662690.12,3.0,922346714,2156,2.99,0.0,2.10546875,False
array,100000,8,0.01,3.0,1,1,3352201.04,3.0,-1321499508,2820,2.99,0.0,2.75390625,False
array,100000,8,0.01,3.0,1,2,3340981.33,3.0,-1405169290,2756,2.99,0.0,2.69140625,False
array,100000,8,0.01,3.0,1,3,3353927.31,3.0,-1308698867,2696,2.99,0.0,2.6328125,False
array,100000,512,0.01,3.0,0,1,35765.73,3.004,34118750,51580,2.99,0.0,50.37109375,False
array,100000,512,0.01,3.0,0,2,36200.39,3.0,36143302,51548,2.98,0.0,50.33984375,False
array,100000,512,0.01,3.0,0,3,35658.57,3.004,33679564,51560,2.98,0.01,50.3515625,False
array,100000,512,0.01,3.0,1,1,35611.35,3.001,76173915,51832,2.98,0.01,50.6171875,False
array,100000,512,0.01,3.0,1,2,35412.07,3.0,75515028,51808,2.98,0.0,50.59375,False
array,100000,512,0.01,3.0,1,3,34690.21,3.001,73013480,51912,2.98,0.0,50.6953125,False
array,10000000,8,0.01,3.0,0,1,10679.01,3.015,7952880,89176,3.22,0.01,87.0859375,False
array,10000000,8,0.01,3.0,0,2,10814.91,3.009,7987875,89260,3.19,0.01,87.16796875,False
array,10000000,8,0.01,3.0,0,3,10767.34,3.002,7958002,89284,3.19,0.01,87.19140625,False
array,10000000,8,0.01,3.0,1,1,20863.04,3.005,15785741,128280,3.73,0.02,125.2734375,False
array,10000000,8,0.01,3.0,1,2,20652.19,3.009,15641055,128368,3.5,0.02,125.359375,False
array,10000000,8,0.01,3.0,1,3,21152.55,3.001,15980839,128396,3.49,0.02,125.38671875,False
array,10000000,512,0.01,3.0,0,1,185.16,3.284,91054,5011168,3.49,0.77,4893.71875,False
array,10000000,512,0.01,3.0,0,2,185.33,3.281,91054,5011132,3.49,0.78,4893.68359375,False
array,10000000,512,0.01,3.0,0,3,185.98,3.269,91054,5011176,3.47,0.77,4893.7265625,False
array,10000000,512,0.01,3.0,1,1,400.23,3.038,299529,5050360,3.55,0.78,4931.9921875,False
array,10000000,512,0.01,3.0,1,2,400.89,3.033,299529,5050052,3.53,0.79,4931.69140625,False
array,10000000,512,0.01,3.0,1,3,399.54,3.043,299529,5050052,3.55,0.78,4931.69140625,False
array,10,8,0.1,3.0,0,1,31394624.0,3.0,188367740,1580,2.99,0.0,1.54296875,False
array,10,8,0.1,3.0,0,2,31289205.33,3.0,187735226,1572,2.99,0.0,1.53515625,False
array,10,8,0.1,3.0,0,3,30716384.0,3.0,184298300,1464,2.99,0.0,1.4296875,False
array,10,8,0.1,3.0,1,1,25119596.96,3.0,135645872,1596,2.99,0.0,1.55859375,False
array,10,8,0.1,3.0,1,2,25423063.53,3.0,137284592,1652,2.99,0.0,1.61328125,False
array,10,8,0.1,3.0,1,3,25432789.33,3.0,137337066,1504,2.99,0.0,1.46875,False
