container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
array,100000,512,0.5,3.0,0,1,138.77,3.228,18809,51704,3.18,0.02,50.4921875,False
array,100000,512,0.5,3.0,1,0,179.19,3.036,65746,51964,3.05,0.07,50.74609375,False
array,100000,512,0.5,3.0,0,2,80.53,3.179,5383,51492,3.13,0.18,50.28515625,False
array,100000,512,0.5,3.0,1,2,148.97,3.007,53374,52068,2.96,0.11,50.84765625,False
array,100000,512,0.5,3.0,1,1,149.27,3.001,53374,51972,2.9,0.12,50.75390625,False
array,10000000,8,0.5,3.0,0,1,95.95,3.002,8249,89452,3.3,0.03,87.35546875,False
array,10000000,8,0.5,3.0,0,0,91.54,3.146,8249,89296,3.41,0.06,87.203125,False
array,10000000,8,0.5,3.0,0,2,72.57,3.087,4954,89352,3.32,0.13,87.2578125,False
linkedlist_seq,10,8,0.0,3.0,0,1,29749133.06,3.002,178626940,1768,2.84,0.01,1.7265625,False
linkedlist_seq,10,8,0.0,3.0,0,0,30874517.33,3.0,185247100,1748,2.97,0.0,1.70703125,False
linkedlist_seq,10,8,0.0,3.0,0,2,32689066.67,3.0,196134400,1716,2.97,0.0,1.67578125,False
linkedlist_seq,10,8,0.0,3.0,1,0,26895381.33,3.0,185578129,1732,2.96,0.0,1.69140625,False
linkedlist_seq,10,8,0.0,3.0,1,1,31929845.33,3.0,220315935,1748,2.95,0.0,1.70703125,False
linkedlist_seq,10,8,0.0,3.0,1,2,27078208.0,3.0,186839633,1776,2.84,0.0,1.734375,False
linkedlist_seq,10,512,0.0,3.0,0,0,34046005.33,3.0,204276026,1712,2.9,0.0,1.671875,False
linkedlist_seq,10,512,0.0,3.0,0,1,26089600.0,3.0,156537600,1712,2.67,0.11,1.671875,False
linkedlist_seq,10,512,0.0,3.0,0,2,29078517.33,3.0,174471100,1712,2.84,0.0,1.671875,False
linkedlist_seq,10,512,0.0,3.0,1,0,25029216.75,3.0,127651563,1712,2.95,0.0,1.671875,False
linkedlist_seq,10,512,0.0,3.0,1,1,26040757.33,3.0,132807867,1716,2.91,0.0,1.67578125,False
